method,refusal_rate,instructional_rate,avg_gen_sem,avg_gen_conf,gate_open_rate,avg_sem_prompt
base,0.38,0.56,0.031205547861754886,0.1432826578617096,,
conf_only,0.42,0.54,0.031219596844166513,0.16411062762141226,,
dual,0.34,0.58,0.02255266623571514,0.12004947692155837,0.36,0.029031999818980685
sem_only,0.3,0.66,-0.0019419935718178846,0.04823383793234825,,
